,City or town,Per Capita Income,Median Household Income,,,,,,
,Carver,"$30,918","$72,161",,,,,,
,Plainfield,"$30,907","$64,167",,,,,,
,West Boylston,"$30,810","$72,026",,,,,,
,Goshen,"$30,670","$68,750",,,,,,
,South Hadley,"$30,664","$61,793",,,,,,
,Wales,"$30,582","$56,302",,,,,,
,Methuen,"$30,520","$67,556",,,,,,
,Leicester,"$30,516","$71,062",,,,,,
,Granville,"$30,474","$73,795",,,,,,
,Bernardston,"$30,466","$53,750",,,,,,
,West Brookfield,"$30,454","$63,667",,,,,,
,Fairhaven,"$30,381","$60,326",,,,,,
,Oak Bluffs,"$30,190","$69,844",,,,,,
,East Brookfield,"$30,172","$66,042",,,,,,
,West Tisbury,"$30,136","$70,963",,,,,,
,Rockland,"$30,051","$66,329",,,,,,
,Dartmouth,"$30,049","$67,997",,,,,,
,Agawam,"$29,857","$63,609",,,,,,
,Haverhill,"$29,778","$60,429",,,,,,
,Wareham,"$29,740","$59,186",,,,,,
,Oxford,"$29,646","$69,818",,,,,,
,Millville,"$29,546","$82,083",,,,,,
,Sandisfield,"$29,539","$55,917",,,,,,
,Russell,"$29,525","$67,554",,,,,,
,Leominster,"$29,392","$58,846",,,,,,
,Brookfield,"$29,391","$61,800",,,,,,
,Colrain,"$29,109","$50,833",,,,,,
,Spencer,"$28,983","$60,197",,,,,,
,Hinsdale,"$28,948","$64,766",,,,,,
,Cheshire,"$28,769","$49,619",,,,,,
,Savoy,"$28,533","$56,500",,,,,,
,Buckland,"$28,359","$49,760",,,,,,
,Phillipston,"$28,307","$71,989",,,,,,
,Clarksburg,"$28,274","$57,600",,,,,,
,Dudley,"$28,240","$70,590",,,,,,
,Randolph,"$28,172","$61,899",,,,,,
,United States,"$28,155","$53,046",,,,,,
,Lancaster,"$28,082","$77,575",,,,,,
,Sunderland,"$28,057","$47,000",,,,,,
,Westfield,"$28,000","$59,581",,,,,,
,Royalston,"$27,999","$60,750",,,,,,
,Dalton,"$27,938","$49,597",,,,,,
,Ware,"$27,894","$50,467",,,,,,
,West Springfield,"$27,853","$54,126",,,,,,
,Templeton,"$27,657","$65,165",,,,,,
,Wendell,"$27,575","$48,000",,,,,,
,North Brookfield,"$27,452","$54,439",,,,,,
,Huntington,"$27,331","$55,526",,,,,,
,Greenfield,"$27,267","$48,230",,,,,,
,Winchendon,"$27,204","$58,288",,,,,,
,Warren,"$27,074","$42,478",,,,,,
,Montague,"$26,889","$45,342",,,,,,
,Florida,"$26,852","$54,375",,,,,,
,Charlemont,"$26,720","$50,329",,,,,,
,Malden,"$26,642","$53,798",,,,,,
,Taunton,"$26,446","$51,637",,,,,,
,Peru,"$26,436","$67,813",,,,,,
,Chester,"$26,415","$65,563",,,,,,
,Webster,"$26,411","$47,885",,,,,,
,Pittsfield,"$26,304","$42,114",,,,,,
,Revere,"$26,092","$51,863",,,,,,
,Palmer,"$25,993","$50,668",,,,,,
,Gosnold,"$25,741","$30,833",,,,,,
,Erving,"$25,165","$54,735",,,,,,
,Chicopee,"$24,810","$46,708",,,,,,
,Adams,"$24,686","$40,318",,,,,,
,Shirley,"$24,469","$65,882",,,,,,
,Worcester,"$24,330","$45,932",,,,,,
,Rowe,"$23,932","$53,750",,,,,,
,Monroe,"$23,709","$36,875",,,,,,
,Everett,"$23,410","$49,368",,,,,,
,Gardner,"$23,327","$48,843",,,,,,
,Lowell,"$23,136","$49,452",,,,,,
,Athol,"$23,036","$46,964",,,,,,
,Lynn,"$22,982","$44,849",,,,,,
,Fitchburg,"$22,620","$45,363",,,,,,
,Brockton,"$21,942","$49,025",,,,,,
,Southbridge,"$21,579","$42,471",,,,,,
,North Adams,"$21,263","$38,317",,,,,,
,Fall River,"$21,257","$33,211",,,,,,
,Orange,"$21,203","$44,825",,,,,,
,New Bedford,"$21,056","$35,999",,,,,,
,Chelsea,"$20,617","$47,291",,,,,,
,Holyoke,"$19,968","$31,628",,,,,,
,Amherst,"$19,796","$53,191",,,,,,
,Springfield,"$18,133","$34,311",,,,,,
,Lawrence,"$16,987","$32,851",,,,,,
,,,,,,,,,
