City or town,Population,Unrestricted General Government Aid,Gross lottery sales,
NORWELL        ,"10,506","$906,717.00","$5,572,794.75",
ACUSHNET       ,"10,303","$1,282,445.00","$4,568,506.25",
WINCHENDON     ,"10,300","$1,422,984.00","$6,618,487.75",
HULL           ,"10,293","$1,792,503.00","$7,265,051.75",
HANSON         ,"10,209","$1,083,133.00","$8,706,088.00",
NANTUCKET      ,"10,172","$67,017.00","$8,721,016.25",
MAYNARD        ,"10,106","$1,328,816.00","$6,385,157.50",
LUNENBURG      ,"10,086","$894,449.00","$7,630,387.75",
WARE           ,"9,872","$1,460,280.00","$6,818,654.25",
BREWSTER       ,"9,820","$333,966.00","$2,226,395.25",
SOUTHBOROUGH   ,"9,767","$369,948.00","$3,503,060.75",
SOUTHWICK      ,"9,502","$1,066,935.00","$7,027,176.25",
STURBRIDGE     ,"9,268","$655,305.00","$6,731,991.75",
BLACKSTONE     ,"9,026","$1,157,715.00","$5,701,423.50",
MIDDLETON      ,"8,987","$462,794.00","$12,314,147.00",
SUTTON         ,"8,963","$660,269.00","$4,472,899.50",
TOWNSEND       ,"8,926","$1,111,624.00","$5,087,844.75",
LITTLETON      ,"8,924","$601,236.00","$3,811,015.25",
FREETOWN       ,"8,870","$803,160.00","$6,846,005.50",
MONSON         ,"8,560","$1,104,115.00","$2,371,104.00",
ADAMS          ,"8,485","$1,980,179.00","$8,525,588.50",
DOUGLAS        ,"8,471","$617,250.00","$3,068,271.25",
MONTAGUE       ,"8,437","$1,212,188.00","$6,470,259.50",
SALISBURY      ,"8,283","$534,432.00","$26,226,246.25",
PLAINVILLE     ,"8,264","$641,687.00","$8,357,179.25",
GEORGETOWN     ,"8,183","$605,914.00","$3,442,130.75",
LANCASTER      ,"8,055","$808,506.00","$1,632,545.50",
TEMPLETON      ,"8,013","$1,179,482.00","$4,715,357.50",
RUTLAND        ,"7,973","$782,441.00","$3,765,767.75",
MILLIS         ,"7,891","$885,551.00","$5,198,718.75",
ORANGE         ,"7,839","$1,366,932.00","$5,983,665.25",
STERLING       ,"7,808","$586,397.00","$3,475,179.00",
HAMILTON       ,"7,764","$568,272.00","$2,166,658.50",
WILLIAMSTOWN   ,"7,754","$807,552.00","$2,684,671.50",
WEST BOYLSTON  ,"7,669","$673,921.00","$8,962,968.25",
COHASSET       ,"7,542","$435,162.00","$3,338,142.00",
UPTON          ,"7,542","$450,325.00","$2,220,589.50",
HALIFAX        ,"7,518","$767,798.00","$8,458,098.75",
AYER           ,"7,427","$640,306.00","$7,690,314.25",
WESTMINSTER    ,"7,277","$553,703.00","$4,025,762.75",
SHIRLEY        ,"7,211","$1,109,735.00","$4,986,120.50",
